"","headers","title","date","link"
"1","Чемпионат Испании предложили завершить на Канарах","Ассоциация отелей Канарских островов считает, что здесь можно спокойно играть без зрителей.","08 апреля 2020, 19:59","https://football.ua/spain/419288-chempionat-ispanii-predlozhili-zavershit-na-kanarakh.html"
"2","Барселона может подписать Онана","Марк-Андре тер Штеген пока не может договориться с ""сине-гранатовыми"" о продлении контракта.","08 апреля 2020, 17:59","https://football.ua/spain/419278-barselona-mozhet-podpisat-onana.html"
"3","Атлетико определился с кандидатурами на роль сменщика Облака","""Матрасники"" претендуют на двух голкиперов.","08 апреля 2020, 16:56","https://football.ua/spain/419273-atletiko-opredelilsja-s-kandidaturami-na-rol-smenshhika-oblaka.html"
"4","На Хакими претендует семь команд","Ряд ведущих клубов пытаются подписать марокканского защитника.","08 апреля 2020, 16:32","https://football.ua/spain/419271-na-khakimi-pretenduet-sem-komand.html"
"5","Суарес: Подписание Лаутаро? В команде всегда должна быть здоровая конкуренция","Нападающий Барселоны считает, что Мартинес — отличный игрок, который пригодится каталонцам.","08 апреля 2020, 16:10","https://football.ua/spain/419269-suares-podpisanie-lautaro-v-komande-vsegda-dolzhna-byt-zdorovaja-konkurencija.html"
"6","У Бартомеу конфликт с вице-президентами Барселоны","Глава ""сине-гранатовых"" выразил недоверие своим приближенным сотрудникам.","08 апреля 2020, 15:27","https://football.ua/spain/419265-u-bartomeu-konflikt-s-vice-prezidentami-barselony.html"
"7","Севилья сократила на 70% зарплату игрокам и тренерам","Зарплату в полном объеме продолжат получать сотрудники, которые полноценно могут работать удаленно.","08 апреля 2020, 13:15","https://football.ua/spain/419257-sevilja-sokratila-na-70-zarplatu-igrokam-i-treneram.html"
"8","Барселона хочет вернуть Эмерсона из Бетиса","Каталонцы, скорее всего, попрощаются с Нельсоном Семеду.","08 апреля 2020, 11:49","https://football.ua/spain/419248-barselona-khochet-vernut-ehmersona-iz-betisa.html"
"9","Барселона готова обменять Ракитича и Умтити на Бернардески","Каталонцы не хотят тратить деньги на итальянца.","08 апреля 2020, 11:20","https://football.ua/spain/419245-barselona-gotova-obmenjat-rakiticha-i-umtiti-na-bernardeski.html"
"10","Иньеста не исключил возвращение в Барселону","Испанский полузащитник пока что не собирается закачивать с футболом.","08 апреля 2020, 10:25","https://football.ua/spain/419242-inesta-ne-iskljuchil-vozvrashhenie-v-barselonu.html"
"11","Касильяс: Уверен, что когда-нибудь вернусь в Реал","Легендарный голкипер рассказал о планах на будущее.","08 апреля 2020, 09:57","https://football.ua/spain/419238-kasiljas-uveren-chto-kogda-nibud-vernus-v-real.html"
